meter_id,date,daily_mean_power,daily_std_power,daily_min_power,daily_max_power,voltage_mean,voltage_std,intensity_mean
MTR_001,2006-12-16,2.6174950440028466,0.8820982808668087,0.2223363135279458,6.660459601258918,236.24376262626262,2.9228955184655203,13.082828282828283
MTR_001,2006-12-17,2.01883324058476,1.0325283365601574,0.09789842632418894,6.024452619869178,240.0870277777778,4.051466800751101,9.999027777777778
MTR_001,2006-12-18,1.311082392719589,0.8627240652734094,0.06548637225337899,5.2585297614773205,241.23169444444446,3.719575628087397,6.421666666666667
MTR_001,2006-12-19,0.9922676970744556,1.063872003200697,0.02007206860482799,6.7503898225437,241.9993125,3.069491633427657,4.926388888888889
MTR_001,2006-12-20,1.3251850654861754,1.1349815354226187,0.026983234789674043,5.161570734794411,242.30806249999998,3.34570379868427,6.467361111111111
MTR_001,2006-12-21,1.019570121213527,0.8521272157308609,0.025254184108061656,4.92681668717001,241.04054937413073,3.702491108401269,5.033796940194716
MTR_001,2006-12-22,1.394074247335724,1.2325111497597834,0.027252620165603036,6.8475624672279265,241.1845486111111,3.57280718080529,6.872916666666667
MTR_001,2006-12-23,2.841330791562521,1.2892046764278724,0.12472815216202855,7.478885160027766,240.1360763888889,2.827044406717384,14.028055555555557
MTR_001,2006-12-24,1.5183943508923825,1.0926192699690391,0.12108229126040129,5.870219970628746,241.6874375,3.439826631979948,7.640416666666667
MTR_001,2006-12-25,1.6335296751943973,1.2230931099273086,0.1051198084425064,5.836462631394543,243.39993055555558,3.4710003397610225,7.951527777777779
MTR_001,2006-12-26,2.3397460230056266,0.8216769122017407,0.27250512805175653,5.630189612554911,241.6254375,3.1407423249757347,11.347916666666666
MTR_001,2006-12-27,0.9088086185121036,0.7109399366056356,-0.017387691331180427,4.734066631508325,243.76736111111111,3.662532775598006,4.5175
MTR_001,2006-12-28,1.2345767128134448,1.2315426691440015,0.04021251524714145,7.884133340666031,243.26833333333335,3.769082317347416,6.086250000000001
MTR_001,2006-12-29,1.8884471650103305,1.1265146701144422,0.13281307073383114,6.237115693918762,240.87130555555555,4.831277406630212,9.271388888888888
MTR_001,2006-12-30,1.6651951468078154,1.4933519589031132,0.08839067181605041,7.802998605191397,240.54068845618914,4.62632842502493,8.292211404728791
MTR_001,2006-12-31,2.083163000785912,0.9987881740870979,0.06963083563423753,5.837613684402216,239.8965763888889,3.4792590072413807,10.199583333333333
MTR_001,2007-01-01,1.6345860587464955,0.7823575612482785,0.08649842699574362,3.066800120713531,240.12897916666665,2.2168510618802078,7.916944444444444
MTR_001,2007-01-02,0.7530547762168547,0.603033015780759,0.1828650967892925,3.0962800488600584,241.94377777777777,2.7364647824939943,3.7140277777777775
MTR_001,2007-01-03,0.6032591193097869,0.4847636201218797,0.08832980462591355,4.405755177865531,243.5570902777778,2.2089026875078757,3.0140277777777778
